"Country","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Ghana","98","94","97","97","99","93","88","98","90","92","91","94","94","93","94","84","84","80","80","80","",""
"Greece","99","99","99","99","99","99","99","99","94","94","83","83","83","83","83","84","84","85","86","86","87","87"
"Grenada","72","72","94","95","96","96","92","97","97","97","95","97","99","99","96","91","99","83","97","98","96","33"
"Guatemala","79","83","85","85","91","83","70","74","96","96","88","94","92","95","85","89","87","","","","",""
"Guinea","47","47","47","47","45","47","47","44","50","57","63","64","57","","","","","","","","",""
"Guinea-Bissau","67","74","78","82","79","85","86","86","87","87","89","86","80","","","","","","","","",""
"Guyana","91","99","99","95","97","97","95","98","98","97","93","95","98","93","94","93","93","91","90","91","85",""
"Haiti","51","51","51","64","64","64","64","63","68","","","","","","","","","","","","",""
"Honduras","77","80","88","91","90","95","98","99","99","98","97","97","97","92","93","94","97","93","91","94","95","93"
"Hungary","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"Iceland","92","93","93","91","89","91","92","90","91","89","95","96","96","98","97","97","95","99","97","95","92","98"
"India","85","85","91","90","89","80","45","20","20","","","","","","","","","","","","",""
"Indonesia","67","77","85","85","85","84","84","30","4","","","","","","","","","","","","",""
"Iran (Islamic Republic of)","98","99","99","99","99","99","98","","","","","","","","","","","","","","",""
"Iraq","78","74","84","86","81","71","68","70","68","36","","","","","","","","","","","",""
"Ireland","93","94","94","94","95","95","95","96","95","95","95","94","93","93","92","91","90","89","86","83","84","85"
"Israel","98","98","98","98","98","94","95","95","96","94","94","95","96","94","95","94","93","95","93","91","94","93"
"Italy","94","94","95","94","94","93","93","94","95","96","96","95","96","96","96","96","95","94","90","83","70","55"
"Jamaica","89","96","96","98","93","99","91","92","93","96","91","94","90","91","91","97","99","98","35","","",""
"Japan","95","95","98","99","99","99","96","99","99","99","99","","","","","","","","","","",""
"Jordan","77","77","89","96","99","98","99","98","98","98","98","98","98","97","98","98","95","95","97","95","59",""
"Kazakhstan","95","88","97","98","99","82","98","95","98","97","95","96","97","49","","","","","","","",""
"Kenya","91","89","91","92","82","90","89","92","93","94","96","90","88","88","81","80","76","73","73","84","",""
"Kiribati","95","92","95","95","90","81","82","75","95","94","95","91","86","83","","","","","","","",""
"Kuwait","94","93","92","91","99","99","99","95","99","98","99","98","99","99","99","99","99","98","99","99","99","98"
"Kyrgyzstan","88","86","94","93","92","96","97","96","97","96","96","96","","","","","","","","","",""
"Lao People's Democratic Republic","75","79","80","85","84","83","83","83","83","77","76","74","","","","","","","","","",""
"Latvia","93","99","99","96","98","98","94","92","94","90","91","90","94","94","94","96","99","98","96","87","84","79"
"Lebanon","67","71","85","85","85","85","85","85","85","84","83","83","82","81","80","78","77","75","74","","",""
"Lesotho","87","87","87","87","87","87","83","88","93","95","96","94","91","","","","","","","","",""
"Liberia","66","65","70","80","80","73","65","63","80","80","77","70","81","75","","","","","","","",""
"Libya","73","73","73","73","96","97","97","94","96","98","98","98","98","98","56","","","","","","",""
"Lithuania","90","91","92","92","94","94","93","93","93","93","92","95","98","96","95","94","61","35","10","5","4","2"
"Luxembourg","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","98","98","98","98","98","96","93"
"Madagascar","55","66","68","65","65","68","62","68","70","68","73","71","77","52","","","","","","","",""
"Malawi","93","90","95","92","88","84","88","91","89","96","97","93","93","91","87","99","93","89","84","64","",""
"Malaysia","94","98","98","99","99","95","99","97","97","99","95","95","95","95","90","89","85","71","","","",""
"Maldives","96","99","98","99","99","99","99","99","58","","","","","","","","","","","","",""
"Mali","77","70","77","77","77","76","71","66","64","65","66","73","73","74","44","16","1","","","","",""
"Malta","99","98","98","97","98","97","97","99","99","99","96","76","73","72","72","83","83","83","84","84","84","93"
"Marshall Islands","72","75","72","72","65","58","70","65","66","67","80","92","99","92","83","60","69","46","70","80","45","45"
"Mauritania","68","72","80","77","76","74","73","81","80","80","75","64","64","","","","","","","","",""
"Mauritius","92","93","97","97","96","96","97","97","98","98","98","99","99","99","96","96","","","","","",""
"Mexico","78","72","82","88","85","93","87","87","83","99","97","95","95","96","98","98","98","98","98","97","97","97"
"Micronesia (Federated States of)","56","68","64","59","44","46","61","65","68","66","72","70","73","73","79","59","74","65","68","70","73","75"
"Monaco","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"Mongolia","95","96","98","99","99","99","99","99","98","99","99","96","97","96","78","56","28","","","","",""
"Montenegro","83","84","85","86","87","89","89","91","94","94","90","90","87","93","89","90","","","","","",""
"Morocco","99","99","99","99","99","99","99","99","99","99","99","99","99","99","91","","","","","","",""
