"Country","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Afghanistan","66","70","72","72","66","66","64","62","64","67","68","66","63","64","63","58","58","50","41","36","33","24"
"Albania","98","98","99","99","99","98","99","98","99","99","99","99","98","99","98","97","98","97","97","98","97","97"
"Algeria","91","91","91","91","91","91","95","95","95","95","95","95","95","93","95","95","88","86","87","86","89","86"
"Andorra","99","99","99","99","99","98","97","97","96","99","99","99","99","99","96","93","98","99","99","97","96","98"
"Angola","45","51","57","63","56","59","59","55","54","53","52","51","50","49","48","44","47","47","46","47","42","31"
"Antigua and Barbuda","92","96","95","95","95","92","99","99","99","98","99","98","99","99","99","99","99","97","99","98","97","95"
"Argentina","76","74","83","86","86","92","94","94","94","91","91","94","94","93","91","91","98","98","96","93","83","83"
"Armenia","93","91","92","92","94","94","94","93","95","95","95","94","93","89","88","87","90","91","94","94","94","93"
"Australia","95","95","95","95","95","94","93","92","91","92","92","92","92","92","92","92","92","92","93","92","92","90"
"Austria","85","85","85","85","90","87","93","98","95","92","89","86","83","83","85","83","86","83","84","83","84","81"
"Azerbaijan","89","79","94","95","95","97","96","94","93","89","87","81","81","81","79","78","75","77","77","76","77","76"
"Bahamas","75","83","89","90","94","94","95","96","97","98","98","99","96","93","95","95","93","93","92","94","99","99"
"Bahrain","98","98","99","99","97","99","98","98","99","99","99","99","98","97","97","98","98","98","97","98","99","97"
"Bangladesh","98","98","98","98","98","98","98","97","96","94","96","94","97","96","94","94","93","99","87","83","85","82"
"Barbados","82","85","90","95","90","97","97","94","91","87","91","86","93","85","93","84","92","93","89","87","84","93"
"Belarus","98","97","98","97","97","98","99","97","98","98","98","98","96","97","95","99","99","99","50","99","99","99"
"Belgium","98","97","97","98","98","98","99","99","99","99","98","98","98","99","98","98","97","95","95","95","95","95"
"Belize","83","79","98","96","88","95","94","95","95","98","95","96","97","94","96","98","96","97","96","89","96","91"
"Benin","76","72","76","76","76","76","74","74","77","80","75","76","79","75","82","74","70","72","73","75","76","78"
"Bhutan","98","95","97","97","98","98","99","99","97","97","95","91","93","96","95","95","95","89","95","86","88","92"
"Bolivia (Plurinational State of)","70","68","75","83","84","87","89","85","87","93","95","91","93","88","84","83","85","84","88","77","71","75"
"Bosnia and Herzegovina","73","73","73","73","75","78","82","86","89","92","88","89","90","91","95","87","93","84","87","80","91","85"
"Botswana","95","95","95","95","95","95","95","95","95","95","95","95","96","96","96","96","96","96","96","97","97","97"
"Brazil","68","77","70","87","89","89","96","93","97","95","99","99","99","99","99","99","99","99","99","99","98","98"
"Brunei Darussalam","99","99","99","99","99","99","99","99","99","95","97","95","99","98","99","97","94","92","92","94","97","99"
"Bulgaria","89","91","93","92","92","92","91","88","95","95","95","94","94","95","95","95","96","95","96","93","94","93"
"Burkina Faso","91","91","91","91","91","91","91","91","88","90","91","91","92","93","89","86","82","79","79","69","62","45"
"Burundi","94","93","93","90","91","94","94","95","96","96","96","96","94","92","99","92","87","83","82","81","81","80"
"Cabo Verde","93","93","96","98","96","96","93","95","93","94","90","99","99","99","98","96","95","93","92","91","90","90"
"Cambodia","92","92","92","92","93","93","92","91","86","90","91","90","94","91","82","80","82","85","69","54","60","59"
"Cameroon","69","69","67","67","74","75","78","83","89","85","82","84","80","84","82","81","80","73","73","66","63","62"
"Canada","92","92","91","91","91","91","91","91","91","91","87","89","91","92","94","95","93","91","91","88","89","89"
"Central African Republic","42","42","42","42","42","42","43","45","23","47","47","45","42","45","48","51","54","51","47","44","40","37"
"Chad","58","52","50","46","41","41","42","36","39","40","33","39","24","19","28","40","25","21","23","25","26","36"
"Chile","95","93","96","95","93","95","96","95","91","90","94","92","94","95","96","94","91","93","96","97","97","91"
"China","99","99","99","99","99","99","99","99","99","99","99","99","99","97","93","93","87","87","86","86","86","85"
"Colombia","86","88","94","92","92","91","91","90","91","91","85","88","92","92","94","93","93","89","92","81","80","79"
"Comoros","85","87","91","91","91","91","91","87","87","86","83","74","83","81","75","69","68","76","80","89","70","70"
"Congo","77","73","79","75","69","71","80","90","85","85","82","74","78","79","72","73","62","67","50","41","31","33"
"Cook Islands","98","98","98","99","99","99","99","99","98","98","93","99","82","99","99","99","99","99","96","97","90","92"
"Costa Rica","99","97","95","94","96","97","92","91","95","91","85","88","86","90","89","89","91","90","88","94","91","88"
"Côte d'Ivoire","76","75","81","84","83","87","79","73","75","82","61","78","81","74","76","77","76","67","61","64","66","65"
"Croatia","92","94","94","93","92","93","94","95","96","96","96","97","96","96","96","96","96","96","94","95","94","93"
"Cuba","99","99","99","99","99","99","99","99","99","99","97","96","96","95","93","89","89","88","72","99","98","95"
"Cyprus","96","96","96","99","97","97","97","99","99","99","99","99","99","97","97","97","98","98","98","98","97","97"
"Czechia","94","97","97","97","96","96","97","97","98","99","99","99","99","99","99","98","97","98","97","98","98","98"
"Democratic People's Republic of Korea","41","97","97","97","97","96","96","93","93","96","94","93","93","92","92","89","79","72","68","64","62","56"
"Democratic Republic of the Congo","65","70","73","71","71","70","70","73","71","71","70","60","71","68","65","62","60","54","41","38","30","40"
"Denmark","97","97","97","97","98","94","93","94","94","94","91","90","89","88","87","93","93","95","96","98","97","97"
"Djibouti","59","70","85","84","76","68","84","78","82","81","87","88","89","89","88","72","71","64","68","62","53","46"
"Dominica","92","96","99","94","91","99","98","97","96","97","98","98","99","96","96","95","98","99","99","98","99","99"
"Dominican Republic","84","82","89","87","84","87","85","91","83","85","84","88","82","82","85","89","87","79","79","82","72","78"
"Ecuador","72","70","85","85","85","83","78","83","87","87","88","91","94","96","96","96","92","88","87","88","89","87"
"Egypt","96","94","95","95","94","95","93","94","97","93","96","97","97","97","98","98","98","97","98","97","99","98"
"El Salvador","79","72","81","81","85","93","91","94","92","92","89","89","91","98","99","96","89","90","94","81","92","99"
"Equatorial Guinea","53","53","53","53","53","53","40","53","53","54","54","54","52","50","48","46","44","43","41","39","37","35"
"Eritrea","95","95","95","95","95","95","95","94","94","94","94","95","95","95","95","94","96","98","93","90","86","81"
"Estonia","90","91","91","92","93","93","93","93","94","94","93","94","95","95","95","95","96","94","94","94","94","93"
"Eswatini","77","83","90","90","90","90","90","98","98","95","91","89","88","88","87","87","86","86","85","85","84","84"
"Ethiopia","65","71","68","67","68","66","63","61","59","62","65","61","58","54","50","46","44","40","38","35","33","30"
"Fiji","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","98","96","95","94","93","91","90"
"Finland","89","90","91","91","89","92","97","98","98","99","99","99","99","99","99","97","97","98","98","98","98","99"
"France","96","96","96","96","96","96","97","98","99","99","99","99","98","99","99","99","98","98","97","97","97","97"
"Gabon","75","63","70","70","75","75","80","70","79","82","75","67","76","82","81","45","45","45","45","45","45","45"
"Gambia","82","85","88","93","92","95","97","96","97","98","96","97","98","96","95","95","95","87","87","87","87","80"
"Georgia","85","88","94","93","91","92","94","91","93","92","94","92","88","92","98","88","82","78","75","84","87","80"
"Germany","91","91","91","91","91","91","93","93","93","95","95","96","96","96","96","96","96","96","97","93","93","90"
"Ghana","98","94","97","97","99","93","88","98","90","92","91","94","94","93","94","84","84","80","80","78","79","88"
"Greece","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","98","96","95","94","92","91","89"
"Grenada","72","72","92","95","96","96","92","97","97","97","95","97","99","99","96","91","99","83","97","98","96","97"
"Guatemala","79","83","85","85","91","83","70","74","96","96","88","94","92","95","85","89","87","87","84","82","77","81"
"Guinea","47","47","47","47","47","47","47","44","50","57","63","64","57","60","63","57","59","60","57","53","50","46"
"Guinea-Bissau","67","74","78","82","79","85","86","86","87","87","86","83","80","77","74","71","68","64","60","57","53","49"
"Guyana","91","99","99","95","97","97","95","98","98","97","93","95","98","93","94","93","93","91","90","91","85","88"
"Haiti","51","51","51","64","64","64","64","63","65","66","68","67","65","64","64","62","60","57","53","50","46","43"
"Honduras","77","80","88","91","90","95","98","99","99","98","97","97","97","93","94","95","98","94","92","95","96","94"
"Hungary","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"Iceland","92","93","92","91","89","91","92","90","91","89","95","96","96","98","97","97","95","99","97","95","92","98"
"India","85","85","91","90","89","88","87","85","83","82","82","79","74","70","64","65","65","63","61","59","59","58"
"Indonesia","67","77","85","85","85","84","84","88","92","87","81","81","78","77","73","72","72","71","71","70","76","75"
"Iran (Islamic Republic of)","98","99","99","99","99","99","98","99","98","99","99","99","99","99","99","98","95","99","99","99","96","99"
"Iraq","78","74","84","86","81","71","68","73","73","72","81","74","78","69","57","59","65","74","75","77","78","80"
"Ireland","94","94","94","94","95","95","95","96","96","95","95","94","94","93","92","91","90","89","86","83","84","86"
"Israel","98","98","98","98","98","94","95","95","96","94","94","95","96","94","95","95","93","95","93","90","92","93"
"Italy","94","94","96","95","95","94","93","95","96","97","96","96","96","96","97","96","95","94","96","93","93","87"
"Jamaica","90","96","96","97","93","99","91","92","93","96","92","94","90","91","92","95","99","98","96","99","99","93"
"Japan","96","96","98","98","99","99","96","96","96","97","97","97","97","98","98","98","98","99","97","96","95","85"
"Jordan","77","77","89","96","99","98","99","98","98","98","98","98","98","97","98","98","95","95","97","95","99","91"
"Kazakhstan","95","88","97","98","99","82","98","95","98","99","99","99","98","99","93","99","98","82","99","95","95","97"
"Kenya","91","89","91","92","82","89","89","92","87","94","96","90","88","88","81","80","76","73","73","84","80","82"
"Kiribati","92","92","97","95","90","81","78","75","95","94","99","91","86","82","94","86","79","62","70","77","85","90"
"Kuwait","94","93","92","91","99","99","99","95","99","98","99","98","99","99","99","99","99","98","99","99","99","98"
"Kyrgyzstan","89","87","95","94","92","96","97","96","97","96","96","96","95","95","94","92","98","99","98","98","99","99"
"Lao People's Democratic Republic","75","79","80","85","84","83","83","83","83","77","76","74","67","61","50","57","49","45","49","53","52","51"
"Latvia","94","99","99","96","98","98","94","92","94","91","92","92","94","94","94","96","99","99","98","97","97","96"
"Lebanon","67","71","83","83","83","83","83","83","83","83","82","82","81","81","80","78","77","75","74","77","80","83"
"Lesotho","87","87","87","87","87","87","83","88","93","95","96","93","91","88","88","89","89","90","90","84","78","83"
"Liberia","66","65","70","80","80","73","65","63","80","80","77","70","81","75","65","60","60","31","35","39","42","46"
"Libya","73","73","73","73","96","97","97","94","96","98","98","98","98","98","98","98","98","97","95","93","94","94"
"Lithuania","90","91","92","92","94","94","93","93","93","93","92","95","98","96","95","94","94","94","94","95","95","94"
"Luxembourg","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","98","99","99","99"
"Madagascar","55","66","68","65","65","68","62","68","70","68","73","70","77","77","84","85","85","78","66","62","60","57"
"Malawi","93","94","95","92","88","84","88","91","89","96","97","93","93","91","87","99","93","89","84","64","90","75"
"Malaysia","95","98","98","99","99","95","99","97","97","97","96","96","97","97","97","95","96","95","96","94","96","98"
"Maldives","96","99","98","99","99","99","99","99","99","99","96","96","98","98","98","98","98","96","98","98","98","98"
"Mali","77","70","77","77","77","76","71","66","64","65","66","73","73","74","74","78","77","69","63","61","49","43"
"Malta","99","98","98","97","98","97","97","99","99","99","96","76","73","72","74","85","92","89","94","95","95","94"
"Marshall Islands","86","82","79","81","80","71","85","78","79","80","87","94","96","95","93","74","77","64","68","80","48","39"
"Mauritania","68","72","80","77","76","74","73","81","80","80","75","64","64","74","75","68","71","70","76","89","75","51"
"Mauritius","92","93","96","97","94","96","97","97","98","98","98","99","99","99","97","97","97","98","99","88","92","88"
"Mexico","78","72","82","88","85","93","87","87","83","99","97","95","95","96","98","98","98","98","98","97","97","97"
"Micronesia (Federated States of)","72","83","78","75","73","69","72","77","81","81","84","85","91","85","79","67","94","78","92","84","75","85"
"Monaco","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"Mongolia","95","96","98","99","99","99","99","99","98","99","99","96","95","96","95","99","99","99","98","98","95","94"
"Montenegro","83","84","85","86","87","89","89","91","94","94","95","94","92","95","92","90","","","","","",""
"Morocco","99","99","99","99","99","99","99","99","99","99","99","99","99","99","95","97","98","97","91","94","96","95"
"Mozambique","61","79","88","88","88","88","88","88","85","81","78","74","74","75","75","78","80","83","85","76","73","70"
"Myanmar","37","84","90","91","89","90","89","88","75","84","84","90","90","85","86","82","73","82","78","79","73","82"
"Namibia","93","93","87","89","88","85","92","88","89","84","82","83","83","83","86","86","86","81","79","77","78","79"
"Nauru","98","95","96","90","87","97","91","95","87","79","99","99","99","99","99","72","80","80","80","80","95","44"
"Nepal","91","84","93","91","90","87","91","92","92","90","92","82","89","82","82","89","75","80","78","72","72","74"
"Netherlands","95","94","94","93","94","95","95","96","97","97","97","97","97","97","97","96","96","98","98","97","97","97"
"New Zealand","90","92","92","93","94","92","92","93","92","93","95","93","92","89","88","89","89","89","90","90","90","90"
"Nicaragua","87","92","98","98","98","98","98","98","98","98","98","98","98","97","93","88","86","79","86","85","87","83"
"Niger","82","81","81","79","85","80","84","81","73","71","75","70","71","67","57","51","45","43","41","39","36","34"
"Nigeria","56","56","56","55","55","53","42","43","43","42","48","54","63","53","42","40","36","33","29","25","27","29"
"Niue","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","85","99","95","99","99","99"
"Norway","97","97","97","96","96","96","95","93","94","95","94","93","94","94","93","94","91","92","92","93","91","90"
"occupied Palestinian territory, including east Jerusalem","95","98","99","99","99","99","99","99","99","97","99","99","97","96","99","96","96","96","98","97","97","93"
"Oman","99","99","99","99","99","99","99","99","98","98","99","99","98","99","99","98","99","99","99","99","99","99"
"Pakistan","83","77","84","80","75","75","72","69","65","64","63","52","52","53","54","59","63","68","66","63","61","59"
"Palau","95","96","97","95","97","98","90","95","99","89","84","69","49","92","94","98","98","98","99","99","98","96"
"Panama","74","74","88","88","81","86","73","80","80","85","87","94","85","86","85","88","92","95","98","99","99","98"
"Papua New Guinea","31","39","35","35","36","46","49","52","60","57","58","55","64","56","66","70","72","62","68","61","55","59"
"Paraguay","70","79","86","88","91","92","92","93","91","91","92","91","86","89","95","98","96","92","86","87","89","86"
"Peru","82","72","88","84","83","89","90","88","88","95","91","93","93","93","93","94","77","86","94","95","90","98"
"Philippines","57","71","71","75","80","84","74","79","84","89","89","88","88","87","87","88","89","88","84","79","79","78"
"Poland","90","90","95","95","96","98","98","98","99","99","99","99","99","99","99","99","99","99","99","99","98","98"
"Portugal","99","99","99","99","98","98","98","98","98","98","97","98","96","97","97","97","93","95","99","98","97","96"
