"Country","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Hungary","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"Iceland","10","93","94","95","95","95","94","93","94","97","90","92","93","94","95","93","90","89","92","","",""
"India","82","81","84","82","80","76","69","60","51","36","27","","","","","","","","","","",""
"Indonesia","50","60","71","67","63","55","31","28","76","78","76","74","67","66","73","50","23","29","21","","",""
"Iran (Islamic Republic of)","98","98","98","98","98","98","98","98","97","97","99","99","99","96","97","98","92","99","96","96","94","99"
"Iraq","84","93","86","83","84","75","76","67","57","68","77","77","87","76","64","52","58","41","45","48","52",""
"Israel","93","96","96","96","96","97","97","96","95","89","87","93","92","91","90","96","96","97","97","97","97",""
"Italy","86","86","88","89","86","82","83","83","84","","","","","","","","","","","","",""
"Jamaica","85","89","92","82","95","85","83","72","71","76","60","56","78","80","84","88","91","95","95","96","96",""
"Japan","95","95","93","93","95","93","93","94","93","92","92","97","92","78","","","","","","","",""
"Jordan","90","90","93","96","99","99","96","98","98","96","95","95","90","90","97","88","92","98","91","90","87","83"
"Kazakhstan","96","91","98","98","99","99","98","99","99","97","99","99","99","99","99","99","96","99","99","98","95","98"
"Kenya","57","53","49","45","35","32","28","","","","","","","","","","","","","","",""
"Kiribati","58","57","91","85","79","79","76","80","84","9","61","21","35","","","","","","","","",""
"Kuwait","94","94","94","94","99","99","96","86","99","99","99","99","94","86","90","96","77","","","","",""
"Kyrgyzstan","97","93","98","96","96","98","96","97","97","98","98","98","98","97","95","97","98","98","98","98","98","96"
"Lao People's Democratic Republic","50","64","56","70","1","","","","","","","","","","","","","","","","",""
"Latvia","85","94","96","94","89","89","92","89","92","92","92","93","92","94","98","99","99","98","97","96","95","90"
"Lebanon","59","64","63","63","63","63","63","63","65","68","70","73","75","65","55","45","34","24","14","28","42","56"
"Lesotho","82","82","82","82","82","82","82","82","82","82","82","81","81","80","80","80","68","56","47","50","46",""
"Liberia","35","30","13","","","","","","","","","","","","","","","","","","",""
"Libya","72","72","72","72","94","96","97","92","95","97","97","97","97","97","97","96","95","95","90","86","81",""
"Lithuania","88","91","93","92","92","92","92","92","92","93","94","95","94","96","96","94","95","93","93","95","96","97"
"Luxembourg","90","90","90","90","86","86","86","86","86","86","","","","","","","","","","","",""
"Madagascar","24","14","","","","","","","","","","","","","","","","","","","",""
"Malawi","74","75","75","72","67","61","8","","","","","","","","","","","","","","",""
"Malaysia","84","84","87","88","99","99","99","99","99","99","95","95","95","93","92","90","91","","","","",""
"Maldives","96","96","96","99","99","99","99","97","99","99","96","96","96","76","56","","","","","","",""
"Mali","33","26","4","","","","","","","","","","","","","","","","","","",""
"Malta","93","99","95","95","83","86","91","94","88","91","85","85","85","83","77","86","60","31","2","","",""
"Marshall Islands","58","68","64","61","62","49","70","53","56","58","74","90","66","79","91","60","71","92","90","70","6","6"
"Mauritius","64","87","99","99","95","92","96","85","85","90","89","90","85","83","80","85","78","80","","","",""
"Mexico","97","79","55","99","62","98","96","95","76","92","97","91","92","94","85","91","97","97","96","89","99","98"
"Micronesia (Federated States of)","38","62","52","48","52","45","74","75","75","70","75","75","82","84","86","85","84","74","66","65","64","50"
"Monaco","80","80","79","79","79","79","79","79","","","","","","","","","","","","","",""
"Mongolia","94","96","98","98","98","90","98","98","97","98","98","95","97","96","97","96","98","98","98","96","95","75"
"Montenegro","79","76","81","86","83","86","94","95","94","97","97","97","96","96","95","","","","","","",""
"Morocco","99","99","99","99","99","99","95","54","","","","","","","92","92","92","91","","","",""
"Mozambique","70","62","64","58","45","36","","","","","","","","","","","","","","","",""
"Myanmar","42","90","80","87","80","86","78","82","80","","80","75","65","57","","","","","","","",""
"Namibia","63","63","56","50","32","","","","","","","","","","","","","","","","",""
"Nauru","97","97","95","94","94","97","96","94","88","81","99","99","92","99","99","97","50","60","72","83","95",""
"Nepal","87","74","76","69","59","25","","","","","","","","","","","","","","","",""
"Netherlands","90","89","90","89","90","91","92","93","92","93","93","92","93","93","92","92","93","98","98","96","",""
"New Zealand","82","91","90","90","90","89","87","86","86","85","86","","","","","","","","","","",""
"Nicaragua","83","98","99","95","84","","","","","","","","","","","","","","","","",""
"Niger","66","60","58","48","46","31","16","3","","","","","","","","","","","","","",""
"Nigeria","36","36","9","","","","","","","","","","","","","","","","","","",""
"Niue","99","99","99","99","99","99","99","99","99","98","98","99","99","99","99","99","70","99","86","90","99","99"
"Norway","95","95","95","93","91","91","91","92","91","91","94","97","96","95","93","91","91","90","89","90","90","90"
"occupied Palestinian territory, including east Jerusalem","99","99","99","99","99","99","99","99","98","97","95","94","97","99","87","92","97","94","94","93","94","95"
"Oman","99","99","99","99","99","99","98","99","99","99","99","99","99","98","95","97","97","98","98","98","99","99"
"Pakistan","79","77","74","67","67","67","54","48","43","42","38","34","30","","","","","","","","",""
"Palau","84","83","88","75","77","95","82","81","98","86","83","39","79","77","83","98","95","98","94","90","83","75"
"Panama","97","97","97","99","93","93","92","90","68","72","81","73","76","79","83","86","89","89","89","88","88","88"
"Papua New Guinea","20","27","20","","","","","","","","","","","","","","","","","","",""
"Paraguay","67","72","83","83","82","87","72","76","76","75","78","77","77","84","74","61","31","","","","",""
"Peru","60","52","66","66","66","66","63","44","54","63","70","56","42","17","9","","","","","","",""
"Philippines","55","68","69","67","64","62","57","54","54","42","36","10","19","","","","","","","","",""
"Poland","95","95","92","92","93","93","94","95","93","95","95","94","95","97","98","99","90","96","97","97","96","96"
"Portugal","95","95","96","96","95","95","95","96","96","96","96","95","95","95","95","95","87","79","72","64","56","48"
"Qatar","99","88","98","95","93","92","91","95","99","99","99","98","99","95","91","87","98","95","91","91","",""
"Republic of Korea","96","96","96","97","97","97","97","96","95","97","98","98","99","99","99","99","99","99","95","95","67","39"
"Republic of Moldova","92","93","95","96","92","95","90","93","94","95","96","98","98","97","95","99","98","98","96","69","",""
"North Macedonia","80","68","94","94","97","93","93","96","96","96","98","99","97","95","95","96","95","95","97","95","94","95"
"Romania","75","75","76","81","75","76","80","84","88","90","91","93","94","95","96","96","96","96","97","97","97","96"
"Russian Federation","96","96","97","97","97","97","97","97","97","97","97","98","97","97","97","97","97","97","96","93","88","86"
"Rwanda","85","91","92","96","95","90","87","","","","","","","","","","","","","","",""
"Saint Kitts and Nevis","94","99","98","96","95","96","90","90","94","90","99","99","99","94","95","96","97","98","98","99","99","99"
"Saint Lucia","66","71","75","68","73","88","95","79","62","80","72","74","63","22","33","45","56","67","69","71","73","89"
"Saint Vincent and the Grenadines","99","99","99","99","99","99","99","98","96","92","91","89","94","94","83","88","93","73","86","99","99",""
"Samoa","50","59","59","28","54","54","55","68","74","52","50","30","14","46","36","6","26","45","65","84","",""
"San Marino","81","79","79","84","78","81","86","86","85","89","92","90","92","92","94","94","94","94","94","","",""
"Sao Tome and Principe","69","75","81","76","76","76","76","71","","","","","","","","","","","","","",""
"Saudi Arabia","97","96","96","97","96","96","96","98","99","98","97","98","98","98","98","97","97","97","97","96","96",""
"Senegal","75","69","68","62","59","57","54","13","","","","","","","","","","","","","",""
"Serbia","84","84","91","90","91","90","86","91","82","90","90","91","87","97","96","90","98","96","96","75","74","78"
