"Country","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Serbia","87","87","94","91","93","91","94","92","91","97","94","89","93","93","99","93","65","89","","","",""
"Seychelles","94","97","99","99","97","96","97","99","98","98","99","99","98","99","99","99","99","99","99","98","95","97"
"Sierra Leone","92","91","95","93","90","84","86","83","92","91","89","86","84","77","63","","","","","","",""
"Singapore","96","96","96","96","96","96","96","96","97","97","96","96","96","97","96","95","96","94","95","95","95","97"
"Slovakia","97","97","97","96","96","96","96","97","98","99","99","99","99","99","99","99","99","99","99","99","99","98"
"Slovenia","86","","","","","","","","","","","","","","","","","","","","",""
"Solomon Islands","87","94","94","85","83","94","87","77","83","92","92","87","91","89","90","99","83","81","79","75","83","81"
"Somalia","42","42","42","42","42","42","42","42","42","","","","","","","","","","","","",""
"South Africa","86","84","85","82","84","85","85","85","73","70","76","71","74","76","83","83","79","76","71","72","72","73"
"South Sudan","49","49","49","49","47","45","31","","","","","","","","","","","","","","",""
"Spain","92","94","95","96","94","97","97","96","95","96","97","97","96","97","96","97","96","97","81","82","83","77"
"Sri Lanka","96","96","99","99","99","99","99","99","99","99","99","99","97","98","98","98","99","62","32","","",""
"Sudan","84","90","93","93","95","93","93","94","93","92","93","75","72","78","78","60","22","","","","",""
"Suriname","72","51","77","81","67","77","73","71","76","76","80","84","87","84","84","84","83","","","","",""
"Sweden","98","97","97","92","76","67","53","42","35","30","29","","","","","","","","","","",""
"Switzerland","73","72","69","69","69","","","","","","","","","","","","","","","","",""
"Syrian Arab Republic","48","49","54","47","48","42","41","47","71","43","66","84","84","83","83","83","83","82","81","80","80","79"
"Tajikistan","97","97","97","96","96","97","96","97","96","94","96","93","93","86","84","88","81","81","58","39","",""
"Thailand","97","97","97","97","99","99","99","99","99","98","98","98","98","98","96","96","96","96","96","95","95","95"
"Timor-Leste","86","86","90","83","83","79","76","77","82","83","67","72","72","79","","","","","","","",""
"Togo","83","82","84","81","83","82","82","84","84","84","85","83","78","24","","","","","","","",""
"Tonga","99","99","99","99","99","96","96","98","99","95","99","99","99","98","99","99","99","99","93","95","96","97"
"Trinidad and Tobago","94","96","93","99","89","97","90","92","92","92","90","90","90","90","89","89","95","94","76","5","",""
"Tunisia","95","97","98","97","98","98","98","98","98","97","98","98","99","99","98","99","97","96","92","93","94","94"
"Türkiye","96","98","99","98","96","98","97","96","97","97","96","96","94","92","96","82","85","77","68","72","77","71"
"Turkmenistan","97","99","99","99","99","98","99","97","98","98","97","96","97","96","98","98","99","96","97","96","",""
"Tuvalu","94","93","92","89","96","94","96","89","90","97","96","89","91","99","97","97","79","98","95","99","99","81"
"Uganda","91","89","93","93","94","93","89","85","84","83","82","80","79","71","73","64","64","62","44","29","",""
"Ukraine","77","81","76","67","52","26","22","22","46","46","21","48","66","84","92","96","97","98","77","48","7","4"
"United Arab Emirates","95","91","98","99","98","99","99","99","98","96","95","94","93","92","92","92","92","92","92","92","92","92"
"United Kingdom of Great Britain and Northern Ireland","93","93","93","","","","","","","","","","","","","","","","","","",""
"United Republic of Tanzania","81","86","89","89","90","92","96","97","91","92","90","91","85","86","83","90","90","95","95","89","",""
"United States of America","91","91","91","91","91","93","92","92","91","90","91","92","92","94","93","93","93","92","92","88","89","90"
"Uruguay","89","92","94","91","93","95","95","95","94","95","95","95","95","94","94","95","96","94","91","95","94","92"
"Uzbekistan","98","95","96","98","99","99","99","99","99","99","99","99","98","91","99","98","99","99","99","62","",""
"Vanuatu","62","78","90","85","85","81","80","86","83","79","76","73","69","66","62","59","61","63","64","66","68","70"
"Venezuela (Bolivarian Republic of)","56","54","64","60","66","84","87","78","82","81","78","78","84","53","62","71","88","82","72","60","53","5"
"Viet Nam","83","94","89","75","94","96","97","95","59","97","95","88","94","87","67","93","94","94","78","","",""
"Yemen","72","72","73","65","68","71","69","73","73","67","69","76","76","78","79","78","80","43","38","31","19","14"
"Zambia","91","84","88","90","94","95","90","86","79","78","81","83","94","87","80","81","82","","","","",""
"Zimbabwe","86","86","90","89","89","90","87","91","95","97","94","90","73","75","72","68","65","68","70","73","76","79"
