"Country","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006"
"Eritrea","96","96","96","96","96","96","96","25","","","","","","","",""
"Estonia","80","82","81","85","87","85","64","32","","","","","","","",""
"Eswatini","85","63","87","90","86","95","36","","","","","","","","",""
"Ethiopia","65","70","68","66","67","63","60","56","","","","","","","",""
"Fiji","99","99","99","99","99","99","99","99","85","","","","","","",""
"Finland","80","82","83","82","80","84","91","92","93","93","93","93","","","",""
"Gambia","79","85","90","93","93","95","97","92","7","","","","","","",""
"Georgia","76","75","81","79","76","75","72","69","41","","","","","","",""
"Germany","68","65","65","67","68","67","67","67","","","","","","","",""
"Ghana","96","89","93","94","97","94","88","98","87","49","","","","","",""
"Greece","20","20","20","20","20","20","20","20","","","","","","","",""
"Guatemala","64","85","86","87","88","84","75","73","81","81","71","38","","","",""
"Guinea-Bissau","72","79","81","85","82","61","","","","","","","","","",""
"Guyana","93","97","99","91","97","96","96","95","94","91","77","39","","","",""
"Haiti","48","48","48","58","58","58","58","23","","","","","","","",""
"Honduras","80","83","89","92","91","96","99","99","98","98","97","97","81","","",""
"India","83","82","53","35","13","4","","","","","","","","","",""
"Iraq","41","42","5","60","63","52","43","30","52","31","","","","","",""
"Ireland","91","89","89","89","89","","","","","","","","","","",""
"Israel","80","79","80","81","81","81","80","81","80","82","","","","","",""
"Italy","63","63","61","19","14","","","","","","","","","","",""
"Jordan","75","75","86","93","96","97","88","","","","","","","","",""
"Kenya","91","89","91","92","67","74","66","19","","","","","","","",""
"Kiribati","80","89","99","97","91","79","37","","","","","","","","",""
"Kuwait","75","73","71","69","3","","","","","","","","","","",""
"Kyrgyzstan","90","52","","","","","","","","","","","","","",""
"Latvia","84","86","85","79","78","43","","","","","","","","","",""
"Lesotho","74","87","87","70","","","","","","","","","","","",""
"Liberia","68","65","64","77","71","48","","","","","","","","","",""
"Libya","73","73","73","73","96","97","93","86","","","","","","","",""
"Lithuania","48","48","45","1","","","","","","","","","","","",""
"Luxembourg","89","89","89","89","89","89","89","89","89","89","88","87","86","","",""
"Madagascar","48","60","62","59","60","63","54","50","","","","","","","",""
"Malawi","92","91","92","90","85","81","84","83","81","7","","","","","",""
"Mali","70","68","63","63","63","62","35","23","","","","","","","",""
"Marshall Islands","53","57","60","42","46","38","41","44","52","60","43","25","71","","",""
"Mauritania","53","71","75","74","74","74","56","5","","","","","","","",""
"Mauritius","86","92","96","95","90","92","66","","","","","","","","",""
"Mexico","77","69","71","77","70","72","81","85","81","99","98","90","93","47","",""
"Micronesia (Federated States of)","42","40","36","52","35","35","46","40","33","45","40","70","","","",""
"Morocco","98","98","98","99","99","99","90","90","90","88","80","2","","","",""
"Mozambique","73","79","88","80","80","70","17","","","","","","","","",""
"Myanmar","33","49","","","","","","","","","","","","","",""
"Namibia","90","90","90","92","86","86","87","","","","","","","","",""
"Nauru","60","","","","","","","","","","","","","","",""
"Nepal","76","","","","","","","","","","","","","","",""
"New Zealand","90","88","86","86","89","66","","","","","","","","","",""
"Nicaragua","87","92","99","99","99","99","99","99","98","98","98","98","94","89","66",""
"Niger","85","83","81","79","85","80","47","19","","","","","","","",""
"Niue","99","99","99","99","99","74","","","","","","","","","",""
"Norway","96","95","95","93","","","","","","","","","","","",""
"occupied Palestinian territory, including east Jerusalem","87","99","99","99","99","","","","","","","","","","",""
"Pakistan","87","84","86","58","12","","","","","","","","","","",""
