"Country","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"Ethiopia","90","93","93","93","80","80","80","72","68","88","88","88","84","83","82","80","77","71","67","60","54","48","42","51","39","34","25","20","17","17","24","27","13","9","7","5","4","4","2","2",""
"Fiji","96","96","96","96","94","94","94","94","94","94","94","94","94","94","93","93","93","92","92","83","84","84","85","86","81","76","70","91","64","34","5","","","","","","","","","",""
"Gabon","83","85","85","85","85","85","85","85","75","75","75","75","73","67","63","58","58","53","64","42","39","46","40","36","33","53","44","69","74","79","84","74","63","57","43","29","","","","",""
"Gambia","95","92","92","92","92","92","92","82","92","91","91","91","91","90","94","89","94","94","94","90","92","91","94","91","92","92","85","89","83","84","85","83","82","77","81","85","84","83","80","76",""
"Ghana","90","89","89","89","88","88","88","88","88","88","86","86","86","86","85","83","77","74","70","70","69","69","69","69","68","68","67","66","65","63","60","40","42","46","48","34","21","11","11","11","3"
"Guatemala","91","90","90","90","90","90","85","85","85","85","85","71","71","71","70","70","70","69","68","68","67","66","59","58","57","55","53","51","50","47","44","28","22","16","13","9","6","4","1","1","1"
"Guinea","83","80","80","80","80","80","80","80","80","80","90","96","96","95","95","90","86","85","80","80","79","75","74","72","70","68","52","50","47","36","27","24","17","11","5","","","","","",""
"Guinea-Bissau","83","83","83","83","80","80","80","80","80","80","78","94","94","92","69","65","64","62","62","60","49","41","49","63","47","68","66","54","48","46","40","36","26","25","18","10","5","","","",""
"Guyana","99","99","99","99","99","99","99","99","97","97","97","90","90","91","92","91","85","84","83","83","82","80","78","76","73","71","68","66","63","60","56","53","48","42","","","","","","",""
"Haiti","80","81","81","81","81","81","81","76","76","70","70","70","50","43","31","37","48","42","42","42","41","41","41","41","41","41","41","40","40","40","39","39","38","43","39","36","32","28","25","19","14"
"Honduras","99","99","99","99","94","94","94","94","94","94","94","94","94","94","94","90","94","94","94","94","93","90","87","84","81","77","73","68","64","76","60","54","54","52","39","27","16","18","17","12","7"
"India","90","90","90","90","87","87","87","87","87","87","87","86","86","86","86","86","86","86","87","83","85","85","84","84","82","83","84","84","83","82","81","70","72","65","55","49","43","38","35","26","20"
"Indonesia","85","85","85","85","85","85","85","85","85","85","85","85","79","83","83","83","82","82","82","82","82","81","80","79","76","74","74","69","68","65","64","47","37","34","32","29","23","21","16","10","6"
"Iran (Islamic Republic of)","96","96","95","95","95","95","95","95","95","95","95","83","83","83","83","83","82","82","82","82","82","82","82","81","68","66","69","84","64","80","71","61","56","40","35","26","14","5","4","2","1"
"Iraq","73","75","75","75","75","72","72","72","85","85","80","69","69","69","70","71","88","88","87","86","75","73","70","75","79","81","82","68","69","62","70","46","53","59","47","31","16","4","4","5","4"
"Jamaica","91","91","90","90","80","80","80","80","80","80","80","62","58","54","53","51","59","52","71","72","51","","","","","","","","","","","","","","","","","","","",""
"Jordan","92","90","90","90","90","90","90","90","90","90","87","87","87","87","86","67","53","46","54","41","44","41","46","52","58","47","48","53","53","51","49","47","64","52","40","52","13","10","7","2",""
"Kenya","88","88","88","88","80","80","76","73","73","73","78","78","78","74","74","73","73","73","72","69","68","68","74","61","47","61","62","64","61","57","60","59","51","66","52","36","","","","",""
"Kiribati","93","90","","90","90","90","90","90","85","83","80","79","42","43","55","45","38","76","","","","","","","","","","","","","","","","","","","","","","",""
"Kuwait","99","99","99","99","95","95","95","95","95","95","95","84","84","83","82","81","81","80","79","78","77","73","24","32","36","37","43","53","58","55","51","29","30","18","9","13","28","29","28","28","6"
"Lao People's Democratic Republic","93","90","90","90","90","90","90","90","80","80","80","47","47","47","52","50","51","54","53","52","58","48","46","45","43","44","40","30","22","16","12","6","7","7","4","2","","","","",""
"Lesotho","85","85","85","85","83","83","83","83","83","83","83","83","83","82","80","79","78","77","76","74","73","77","82","85","84","61","40","20","8","5","","","","","","","","","","",""
"Liberia","90","90","89","89","89","89","89","91","91","91","91","91","91","90","73","60","59","56","64","59","51","44","56","60","57","55","52","47","43","38","33","28","24","20","22","18","25","41","48","54",""
