"Country","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Afghanistan","71","75","75","76","71","71","67","62","64","67","68","66","63","64","63","58","58","50","41","36","35","24"
"Albania","98","98","99","99","99","98","99","98","99","99","99","99","98","99","99","97","97","98","97","98","97","97"
"Algeria","91","91","91","91","91","91","95","95","95","95","95","95","94","92","95","95","88","86","87","86","89","86"
"Andorra","98","99","99","99","99","98","97","97","96","99","99","99","99","99","96","93","98","99","99","95","95","95"
"Angola","43","51","56","61","52","58","62","55","48","54","50","56","36","36","43","8","14","18","21","22","28","21"
"Antigua and Barbuda","92","95","95","94","94","87","86","96","98","97","99","99","98","99","98","99","98","97","99","93","99","96"
"Argentina","74","74","83","84","84","87","93","92","90","90","93","95","97","94","92","92","95","91","95","94","85","88"
"Armenia","93","86","94","92","96","96","96","95","96","96","96","96","94","91","90","87","92","93","96","96","97","96"
"Australia","95","95","95","95","95","94","93","92","91","92","92","92","92","92","92","92","92","92","92","92","91","90"
"Austria","85","85","85","85","90","87","93","98","95","92","89","86","83","83","85","83","86","83","84","82","83","71"
"Azerbaijan","93","85","96","96","97","98","98","97","96","92","91","85","84","85","81","80","79","78","79","80","77","75"
"Bahamas","75","83","89","90","94","94","95","96","97","99","97","97","97","93","95","94","93","92","93","93","98","91"
"Bahrain","99","98","99","99","98","99","98","98","99","99","99","99","97","97","97","98","98","98","97","98","99","97"
"Bangladesh","98","98","98","98","98","98","98","97","96","94","96","94","97","96","96","95","94","88","90","83","85","83"
"Barbados","84","85","91","94","91","97","97","95","91","88","91","90","93","85","93","85","91","93","90","86","93","86"
"Belarus","97","97","98","98","98","98","99","97","98","98","98","99","98","98","90","97","98","99","53","99","99","99"
"Belgium","98","98","98","98","98","98","99","99","99","99","98","98","98","99","99","99","97","96","96","96","96","96"
"Belize","83","79","98","96","88","96","94","95","95","98","95","96","98","94","97","98","96","97","95","93","96","91"
"Benin","75","73","75","75","75","75","72","71","73","80","77","77","80","77","82","76","73","74","75","76","77","78"
