"Country","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Afghanistan","63","66","64","71","67","64","62","60","57","59","64","62","60","59","55","53","50","48","39","35","37","27"
"Albania","87","91","95","94","96","96","97","98","99","98","99","99","97","98","97","95","97","96","93","96","95","95"
"Algeria","80","80","80","80","88","94","95","95","95","95","95","95","92","88","92","91","83","81","84","81","83","80"
"Andorra","99","98","99","99","99","97","96","96","95","98","99","99","98","98","94","91","94","98","96","98","97","97"
"Angola","36","44","51","50","42","45","51","56","59","65","57","62","46","48","58","21","21","43","44","59","60","32"
"Antigua and Barbuda","85","89","93","96","99","88","91","93","96","98","99","98","99","99","99","99","99","97","99","99","97","95"
"Argentina","81","77","86","94","89","90","89","95","94","94","95","95","96","96","94","97","98","99","97","95","89","91"
"Armenia","94","94","95","95","96","97","97","97","97","97","97","97","96","94","92","92","94","92","94","91","93","92"
"Australia","93","93","94","94","94","95","95","94","94","94","94","94","94","94","94","94","94","94","94","94","92","91"
"Austria","95","95","95","94","96","95","96","96","92","88","84","80","76","83","79","80","75","74","79","78","79","75"
"Azerbaijan","93","82","98","96","98","98","98","98","98","94","92","89","85","79","75","69","67","67","67","66","68","67"
"Bahamas","82","87","83","89","90","89","94","92","92","91","90","94","98","90","96","88","85","89","90","94","94","93"
"Bahrain","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","98","98"
"Bangladesh","97","97","97","97","97","97","97","94","91","88","93","88","93","92","89","83","88","81","76","75","77","74"
"Barbados","77","89","92","85","92","92","96","95","87","90","93","85","94","94","75","92","93","98","90","91","93","94"
"Belarus","98","97","98","98","97","98","99","99","99","98","99","99","99","99","99","97","99","99","99","99","99","98"
"Belgium","96","96","96","96","96","96","96","96","96","96","95","95","95","93","92","92","88","82","82","82","82","82"
"Belize","79","82","96","97","90","95","96","95","99","96","98","98","97","96","96","99","95","97","96","88","94","96"
"Benin","68","65","68","68","68","68","67","65","68","74","70","68","71","66","70","66","61","63","65","66","68","70"
"Bhutan","97","93","97","97","97","97","97","97","94","95","95","95","94","99","95","90","93","87","88","78","78","78"
"Bolivia (Plurinational State of)","75","74","79","89","83","94","95","89","87","92","96","88","93","92","86","88","89","90","96","91","88","84"
"Bosnia and Herzegovina","68","68","68","68","69","68","83","89","92","94","89","91","93","84","96","85","90","88","84","89","92","80"
